"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что система не позволяет создать курьера с уже существующим логином. Ожидается ошибка 409","906","Нельзя создать двух одинаковых курьеров","tests","2026-04-21","passed","2026-04-21","TestCreateCourier","test_create_courier","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","193","Проверка создания заказа","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"Проверка, что при попытке авторизации с неправильным паролем возвращается ошибка 404 с сообщением 'Учетная запись не найдена'","398","Авторизация с неверным паролем","tests","2026-04-21","passed","2026-04-21","TestLogin","test_login","",""
"Проверка, что при попытке авторизации без логина возвращается ошибка 400 с сообщением 'Недостаточно данных для входа'","177","Авторизация без логина","tests","2026-04-21","passed","2026-04-21","TestLogin","test_login","",""
"Проверка, что при отсутствии обязательного поля password система возвращает ошибку 400","191","Ошибка при отсутствии пароля","tests","2026-04-21","passed","2026-04-21","TestCreateCourier","test_create_courier","",""
"Проверка, что при запросе списка заказов в теле ответа возвращается список заказов в поле 'orders'","11947","Проверка получения списка заказов","tests","2026-04-21","passed","2026-04-21","TestOrderList","test_order_list","",""
"Проверка, что курьер создаётся при корректных данных. Ожидается статус 201 и ответ {'ok': True}","497","Создание курьера успешно","tests","2026-04-21","passed","2026-04-21","TestCreateCourier","test_create_courier","",""
"Проверка, что при отсутствии обязательного поля login система возвращает ошибку 400","220","Ошибка при отсутствии логина","tests","2026-04-21","passed","2026-04-21","TestCreateCourier","test_create_courier","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","199","Проверка создания заказа","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"Проверка, что при успешной авторизации верный статус код и запрос возвращает id","193","Проверка успешной авторизации","tests","2026-04-21","passed","2026-04-21","TestLogin","test_login","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","216","Проверка создания заказа","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
"Проверка, что при попытке авторизации с неправильным логином возвращается ошибка 404 с сообщением 'Учетная запись не найдена'","397","Авторизация с неверным логином","tests","2026-04-21","passed","2026-04-21","TestLogin","test_login","",""
"Проверка, что при попытке авторизации без пароля возвращается ошибка 400 с сообщением 'Недостаточно данных для входа'","191","Авторизация без пароля","tests","2026-04-21","passed","2026-04-21","TestLogin","test_login","",""
"Проверка, что при попытке авторизации с данными несуществующего пользователя возвращается ошибка 404 с сообщением 'Учетная запись не найдена'","190","Авторизация несуществующего пользователя","tests","2026-04-21","passed","2026-04-21","TestLogin","test_login","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","192","Проверка создания заказа","tests","2026-04-21","passed","2026-04-21","TestCreateOrder","test_create_order","",""
