"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка, что при попытке авторизации без пароля возвращается ошибка 400 с сообщением 'Недостаточно данных для входа'","201","Авторизация без пароля","tests","2026-04-19","passed","2026-04-19","TestLogin","test_login","",""
"Проверка, что система не позволяет создать курьера с уже существующим логином. Ожидается ошибка 409","445","Нельзя создать двух одинаковых курьеров","tests","2026-04-19","passed","2026-04-19","TestCreateCourier","test_create_courier","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","209","Проверка создания заказа","tests","2026-04-19","passed","2026-04-19","TestCreateOrder","test_create_order","",""
"Проверка, что при успешной авторизации верный статус код и запрос возвращает id","213","Проверка успешной авторизации","tests","2026-04-19","passed","2026-04-19","TestLogin","test_login","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","224","Проверка создания заказа","tests","2026-04-19","passed","2026-04-19","TestCreateOrder","test_create_order","",""
"Проверка, что при попытке авторизации с неправильным паролем возвращается ошибка 404 с сообщением 'Учетная запись не найдена'","363","Авторизация с неверным паролем","tests","2026-04-19","passed","2026-04-19","TestLogin","test_login","",""
"Проверка, что при попытке авторизации с данными несуществующего пользователя возвращается ошибка 404 с сообщением 'Учетная запись не найдена'","191","Авторизация несуществующего пользователя","tests","2026-04-19","passed","2026-04-19","TestLogin","test_login","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","402","Проверка создания заказа","tests","2026-04-19","passed","2026-04-19","TestCreateOrder","test_create_order","",""
"Проверка, что курьер создаётся при корректных данных. Ожидается статус 201 и ответ {'ok': True}","406","Создание курьера успешно","tests","2026-04-19","passed","2026-04-19","TestCreateCourier","test_create_courier","",""
"Проверка, что при отсутствии обязательного поля login система возвращает ошибку 400","187","Ошибка при отсутствии логина","tests","2026-04-19","passed","2026-04-19","TestCreateCourier","test_create_courier","",""
"Проверка, что при попытке авторизации без логина возвращается ошибка 400 с сообщением 'Недостаточно данных для входа'","208","Авторизация без логина","tests","2026-04-19","passed","2026-04-19","TestLogin","test_login","",""
"Проверка, что при попытке авторизации с неправильным логином возвращается ошибка 404 с сообщением 'Учетная запись не найдена'","204","Авторизация с неверным логином","tests","2026-04-19","passed","2026-04-19","TestLogin","test_login","",""
"Проверка, что при отсутствии обязательного поля password система возвращает ошибку 400","187","Ошибка при отсутствии пароля","tests","2026-04-19","passed","2026-04-19","TestCreateCourier","test_create_courier","",""
"Проверка, что заказ создается с различными цветами и без цветов, а также тело ответа содержит track.","235","Проверка создания заказа","tests","2026-04-19","passed","2026-04-19","TestCreateOrder","test_create_order","",""
"Проверка, что при запросе списка заказов в теле ответа возвращается список заказов в поле 'orders'","13037","Проверка получения списка заказов","tests","2026-04-19","passed","2026-04-19","TestOrderList","test_order_list","",""
